Department,Major,Degree,School,Course Title,Course Description,Cost
Police,None,Non-Degree,Presentation College,PERSONALITY INSIGHTS DISC CERTIFICATION LEVEL 3 SPEAKERS BOOT CAMP,"There are 3 levels to Master Instructor in the DISC Assessment (Personality Assessment) I have successfully completed level 1. Levels 2 and 3 do not have to be taken in order. The level 3 class covers specialized training in presentation skills to facilitate a DISC training workshop. Topics include presenting on -How your personality type affects your leadership style
-The how and why behind the way you do life
-Strategies for building better teams
-How to identify internal & external motivators
-Secret insights into how to gain peak performance from team members
-How to decrease turnover by hiring the right person for the job
-How to create a healthy work environment
-How to help reduce stress & conflict.
I am looking to bring specialized DISC training to MCP officers through the Leadership Development Institute.",1900.00
Police,Job Related,Certificate,ACADEMI,ADVANCED COUNTER AMBUSH TACTICS FOR LAW ENFORCEMENT (CUSTOM COURSE),")
Date of course: Monday 12/4/17 - Friday 12/8/17
Hours: 08:30AM-4:30PM daily
Actual cost of the class is 1,935.11.",1730.00
Fire/Rescue Services,Fire Science,AA,COLUMBIA SOUTHERN UNIVERSITY,PHI - 210  CRITICAL THINKING,elective,480.00
Human Resources,Human Resources,Bachelors (BA/BS),University of Maryland - University College,WRITING 394,"Writing documents appropriate to audience and comprehensive, project-based study applied to business writings.",837.00
Fire/Rescue Services,None,Non-Degree,ROPES THAT RESCUE LTD.,PERSONNEL SKILLS RESCUE WORKSHOP,Rope rescue class designed to improve personal skills of rigging and rescue.,1250.00
Fire/Rescue Services,Public Administration,Masters (MA/MS/MPH/etc.),AMERICAN MILITARY UNIVERSITY,PUBLIC ADMINISTRATION IN SOCIETY,"The study and practice of public administration is explored in its political context. The student is introduced to the environment within which public administration functions and the dynamics of behavior within large organizations. How choices are made among competing policies, factors affecting the implementation of policy, and the role of policy evaluation in shaping policy choices are examined. Managing large-scale bureaucratic organizations is analyzed including the role of leadership, the management of personnel and finances, and the role of communication in inter- and intra-organizational relations.",1050.00
Health & Human Services,None,Non-Degree,PESI HEALTHCARE LLC,ETHICS IN AN AGE OF INFORMALITY: PROTECTING YOURSELF WHEN BOUNDARIES BLUR,"The seductive informality of our times has blurred the distinction between professional and personal, presenting new ethical challenges and gray areas. This online video series provides updated guidelines for steering clear of violations as well as proactive strategies for anticipating and avoiding them.",214.99
Police,Criminology and Criminal Justice,Other,"JOHN E. REID AND ASSOCIATES, INC.",INTERVIEW AND INTERROGATION SEMINAR,Basic interview and interrogation techniques .,795.00
Permitting Services,General Studies,AA,MONTGOMERY COMMUNITY COLLEGE,MATHEMATICAL IDEAS,"Intended primarily for students who need only one mathematics foundation course, this course includes topics selected from (but not limited to) graph theory, geometry, number theory, algebra, combinatorics, and statistics. Students address topical applic",560.00
Fire/Rescue Services,Public Safety,Bachelors (BA/BS),University of Maryland - University College,HIST 125 - TECHNOLOGICAL TRANSFORMATIONS,"A focused survey of the intersection of technology and history and the evolutionary process that marks what we call progress. The objective is to apply historical precedent to everyday responsibilities and relationships in order to advance the goals and ideals of contemporary society; compare and contrast historical eras; and describe how events influence our sense of time, space, and technology.",882.00
Health & Human Services,None,Non-Degree,Psychwire,ACT FOR BEGINNERS,"This course will enable you to rapidly gain a comprehensive understanding of the ACT model, and immediately start using it with your clients",545.00
Fire/Rescue Services,Not Listed,AA,Montgomery College Rockville Campus,INTERMEDIATE ALGEBRA MATH 093,Intermediate Algebra,372.00
Police,Business/Admin./Mgmt.,AA,Montgomery College Rockville Campus,INTRO TO BUSINESS,Intro to Business - BSAD101,497.40
Health & Human Services,None,Non-Degree,Starbright Training Institute,FAMILY PLAY THERAPY TO ENHANCE ATTACHMENT,"This workshop is designed to integrate play and systems approaches in order to encourage clinical work with all family members. Participants will learn a variety of play therapy strategies that facilitate family communication in a variety of expressive ways. The goal is to encourage family members to interact with each other in different ways in order to build, establish, or enhance their satisfaction with the interactions. The idea is to motivate family members to repeat rewarding interactions at home, and learn to shift their perspective of each other, in order to nurture and respond positively to each other.",450.00
Police,Computer Science,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",MATH 108,"Trigonometry and Analytical Geometry

MATH 108 | 3 Credits

(The second course in the two-course series MATH 107-108. An alternative to MATH 115.) Prerequisite: MATH 107 or an appropriate result on the placement test. An introduction to trigonometric functions, identities, and equations and their applications. The goal is to demonstrate fluency in the language of trigonometry, analytic geometry, and selected mathematical topics; communicate mathematical ideas appropriately; apply and prove trigonometric identities; solve triangles and trigonometric equations; and perform vector operations. Discussion covers analytical geometry and conic sections, systems of linear equations, matrices, sequences, and series. Students may receive credit for only one of the following courses: MATH 108 or MATH 115.",863.00
Human Resources,Human Resources,Bachelors (BA/BS),University of Maryland - University College,PHIL 140 - CONTEMPORARY MORAL ISSUES,Degree Requirement,798.00
Health & Human Services,Business/Admin./Mgmt.,Bachelors (BA/BS),University of Maryland - University College,EXCEL 301,"Portfolio enables you to identify and document the college-level learning you have gained from your life experiences-through work (paid and volunteer), community or political activities, and other experiences outside the classroom-and gain credit for it.",882.00
Fire/Rescue Services,Fire Science,Bachelors (BA/BS),COLUMBIA SOUTHERN UNIVERSITY,EARTH SCIENCE,Required writing course,594.00
Housing & Community Affairs,Public Administration,Masters (MA/MS/MPH/etc.),University of Maryland - University College,PUBLIC RELATIONS TECHNIQUES (PRPA602),"A presentation of advanced writing techniques designed to improve skills in the writing of specialized public relations materials. Emphasis is on audience, message, and channel identification. Topics include special communication techniques necessary for broadcast and electronic media.",556.00
